"","athlete.sex","distance","elapsed_time","average_speed","type","average_heartrate","athlete.country","meters_per_sec","iso3c"
"381","F",49354.1,8074,6.969,"Ride",156.6,"Australia",6.11271984146644,"AUS"
"382","F",19312.1,3615,6.067,"Ride",124,"Australia",5.34221300138313,"AUS"
"383","F",58103.6,10897,6.73,"Ride",146,"United States",5.33207304762779,"USA"
"384","F",76693.6,8704,9.222,"Ride",135.7,"República Federativa do Brasil",8.81130514705882,NA
"385","F",11292.3,3736,3.031,"Run",142.5,"Germany",3.02256423982869,"DEU"
"386","F",30206.6,4905,6.22,"Ride",130.3,"United States",6.15832823649337,"USA"
"387","F",19516.1,5155,3.792,"Run",165.9,"South Africa",3.78585838991271,"ZAF"
"388","F",38604.4,4351,9.381,"Ride",168.4,"Canada",8.87253504941393,"CAN"
"389","F",20260.5,3315,6.351,"Ride",157.3,"Australia",6.11176470588235,"AUS"
"390","F",63390.1,9972,6.895,"Ride",126,"Ireland",6.35680906538307,"IRL"
"391","F",31139.1,7629,4.715,"Run",113.6,"España",4.08167518678726,NA
"392","F",30266.9,5183,6.179,"Ride",162.5,"United States",5.83964885201621,"USA"
"393","F",2469.5,1332,1.937,"Run",161.5,"United States",1.85397897897898,"USA"
"394","F",16617.1,2429,7.11,"Ride",138.8,"Australia",6.8411280362289,"AUS"
"395","F",6837.3,2638,2.741,"Run",164.3,"United States",2.59184988627748,"USA"
"396","F",57571.9,11194,5.672,"Ride",113,"United States",5.14310344827586,"USA"
"397","F",45060.5,6646,7.6,"Ride",120.1,"United States",6.78009328919651,"USA"
"398","F",29577.3,5951,5.011,"Ride",145,"United States",4.97013947235759,"USA"
"399","F",18497.7,5779,3.328,"Run",150.1,"Slovenia",3.20084789756013,"SVN"
"400","F",38380.6,5638,6.826,"Ride",139.7,"United Kingdom",6.80748492373182,"GBR"
"401","F",38340,15644,4.01,"AlpineSki",92.3,"Austria",2.45077985170033,"AUT"
"402","F",87592.9,12103,7.365,"Ride",138,"South Africa",7.23728827563414,"ZAF"
"403","F",8420.3,3620,2.458,"Workout",170.2,"United States",2.32604972375691,"USA"
"404","F",15633.9,4773,3.304,"Ride",133.5,"New Zealand",3.275487115022,"NZL"
"405","F",10144.5,3975,2.774,"Ride",162.1,"Australia",2.55207547169811,"AUS"
"406","F",8642.2,7736,2.878,"Run",156.9,"United States",1.11714064115822,"USA"
"407","F",36875.6,6043,6.102,"Ride",148.3,"France",6.1022008935959,"FRA"
"408","F",25052,5339,4.692,"Ride",126.7,"Australia",4.69226446900169,"AUS"
"409","F",60545,12588,7.323,"Ride",152.4,"Nederland",4.80973943438195,NA
"410","F",15583.9,7802,2.073,"Run",96.6,"Germany",1.9974237375032,"DEU"
"411","F",32329.9,4430,7.298,"Ride",132.2,"United States",7.29794582392777,"USA"
"412","F",36982.4,6390,5.811,"Ride",127.8,"España",5.78754303599374,NA
"413","F",1801.2,982,2.569,"Ride",88.5,"Australia",1.83421588594705,"AUS"
