"","athlete.sex","distance","elapsed_time","average_speed","type","average_heartrate","athlete.country","meters_per_sec","iso3c"
"693","M",61380,9153,7.32,"Ride",167.5,"Thailand",6.70599803343166,"THA"
"694","M",48092.9,7688,6.639,"Ride",155.3,"United States",6.25558012486993,"USA"
"695","M",3344.8,1187,2.96,"Run",174.5,"United States",2.8178601516428,"USA"
"696","M",14074.6,2164,6.803,"Ride",103.1,"New Zealand",6.5039741219963,"NZL"
"697","M",18095.4,2160,8.378,"Ride",133.5,"Ireland",8.3775,"IRL"
"698","F",14487.2,6495,2.332,"Run",149.4,"United States",2.23051578137028,"USA"
"699","M",35350.8,5116,7.263,"Ride",138.2,"Switzerland",6.90985144644253,"CHE"
"700","F",5138.5,2601,2.086,"Run",150.1,"United States",1.97558631295656,"USA"
"701","M",26353.1,3873,6.93,"Ride",143.4,"United States",6.80431190291763,"USA"
"702","F",8925.7,3002,2.973,"Run",175.2,"United States",2.97325116588941,"USA"
"703","M",2198.4,844,2.636,"Run",123.1,"Brazil",2.60473933649289,"BRA"
"704","M",30795.3,7274,4.444,"Ride",108.1,"United States",4.23361286774814,"USA"
"705","M",36820.5,8023,4.724,"Ride",115.4,"Sverige",4.58936806680793,NA
"706","M",51224.1,8281,6.769,"Ride",128.2,"Canada",6.18573843738679,"CAN"
"707","F",20648.3,4105,5.03,"Ride",138.4,"United States",5.0300365408039,"USA"
"708","M",17605.3,5206,3.382,"Run",149.5,"Netherlands",3.38173261621206,"NLD"
"709","M",53714,6717,7.997,"Ride",147.2,"Sweden",7.99672472830133,"SWE"
"710","M",17998.3,2581,7.669,"Ride",131.1,"United States",6.97338240991864,"USA"
"711","M",11977.1,4657,2.585,"Run",154.4,"Italy",2.5718488297187,"ITA"
"712","M",9868.4,3978,2.481,"Run",122.4,"United States",2.4807440925088,"USA"
"713","F",41787.6,6600,6.599,"Ride",144.5,"United States",6.33145454545455,"USA"
"714","M",64478.6,5867,11.1,"Ride",160,"Norge",10.9900460201125,NA
"715","M",16261.1,5321,3.056,"Run",146.9,"United States",3.05602330389025,"USA"
"716","M",80825.2,10742,8.097,"Ride",134.9,"United States",7.52422267734128,"USA"
"717","M",11391.5,3603,3.164,"Run",154.4,"Austria",3.161670829864,"AUT"
"718","M",108667,13571,8.768,"Ride",144,"Magyarország",8.00729496720949,NA
"719","M",26634,3512,8.274,"Ride",143.9,"United Kingdom",7.58371298405467,"GBR"
"720","F",24309.5,5214,5.576,"Ride",124.9,"New Zealand",4.66235136171845,"NZL"
"721","M",13476.6,3197,4.62,"Ride",136.1,"Chile",4.21538942758836,"CHL"
"722","M",21958.4,9118,2.469,"Run",134,"Magyarország",2.40824742268041,NA
"723","M",7603.1,2889,2.693,"Run",154.2,"United States",2.63174108688127,"USA"
"724","M",67343.6,11301,9.289,"Ride",153,"United States",5.95908326696753,"USA"
"725","M",47591.6,11827,4.329,"Ride",147.2,"Australia",4.02397903103069,"AUS"
"726","M",7014.8,1531,4.627,"Ride",143,"United States",4.58184193337688,"USA"
"727","F",6438.1,2559,2.519,"Run",110.9,"United States",2.51586557248925,"USA"
"728","M",85006.4,10877,7.887,"Ride",119.2,"Spain",7.81524317366921,"ESP"
"729","F",61264.8,10372,9.024,"Ride",143.5,"Australia",5.90674893945237,"AUS"
"730","M",26072.5,2714,9.607,"VirtualRide",144.3,"Deutschland",9.60666912306559,NA
"731","F",45636.9,9920,7.459,"Ride",156.8,"Australia",4.6004939516129,"AUS"
"732","M",95768.7,13558,7.881,"Ride",114.6,"Australia",7.06363032895707,"AUS"
"733","M",7563.4,3933,2.205,"Run",173.3,"France",1.92306127637935,"FRA"
"734","M",66070.7,8726,7.928,"Ride",147,"United States",7.5717052486821,"USA"
"735","M",51053.9,7258,8.019,"Ride",147.7,"The Netherlands",7.0341554147148,"NLD"
"736","F",8995.8,5676,2.36,"Run",162.5,"Danmark",1.58488372093023,NA
"737","M",18039.7,2390,7.67,"Ride",163.9,"United States",7.54799163179916,"USA"
"738","M",52944.9,6917,7.827,"Ride",159.2,"Australia",7.65431545467688,"AUS"
"739","M",7127.7,3101,2.431,"Run",145.9,"United Kingdom",2.29851660754595,"GBR"
"740","M",201231,41932,7.386,"Ride",127.2,"Nederland",4.79898406944577,NA
"741","M",34381.2,5240,7.133,"Ride",146.4,"United Kingdom",6.56129770992366,"GBR"
"742","M",10730.4,2388,4.588,"Ride",116.4,"Papua New Guinea",4.49346733668342,"PNG"
"743","M",13003.2,4142,3.286,"Run",164.2,"Brazil",3.13935296957991,"BRA"
"744","F",1582.7,598,2.647,"Run",163.6,"United States",2.64665551839465,"USA"
"745","M",8491.3,3380,2.532,"Run",144.1,"United States",2.51221893491124,"USA"
"746","F",10869.9,2633,4.351,"Ride",122.3,"United States",4.12833270034182,"USA"
"747","M",5009.5,1576,3.179,"Run",164.5,"Poland",3.17861675126904,"POL"
"748","F",22092.6,9689,3.475,"Ride",125.7,"United States",2.28017339250697,"USA"
"749","M",36242.2,5857,7.374,"Ride",147.3,"Norway",6.18784360594161,"NOR"
"750","M",11278.8,15521,7.272,"Ride",140,"Australia",0.726679981959925,"AUS"
"751","M",24400,4410,6.663,"Ride",108,"Australia",5.5328798185941,"AUS"
"752","F",18966.9,7537,2.623,"Run",171.2,"Brazil",2.51650524081199,"BRA"
"753","F",46580.9,12274,4.92,"Ride",104.8,"United States",3.7950871761447,"USA"
"754","M",50243.9,6266,8.118,"Ride",137.8,"United States",8.01849664857964,"USA"
"755","M",25715.5,7755,5.445,"Ride",149.1,"Australia",3.31598968407479,"AUS"
"756","F",18.7,9,2.078,"Ride",65.8,"Norge",2.07777777777778,NA
"757","M",18733.2,3894,4.853,"Ride",119.3,"France",4.81078582434515,"FRA"
"758","M",24315,5334,5.938,"Ride",140,"Germany",4.55849268841395,"DEU"
"759","F",24106.5,2700,8.928,"Ride",161.9,"Australia",8.92833333333333,"AUS"
"760","M",87041.1,10448,8.715,"Ride",145.8,"Italy",8.33088629402757,"ITA"
"761","F",1376,4532,0.325,"Swim",85.4,"Netherlands",0.303618711385702,"NLD"
"762","",45929.4,7406,6.551,"Ride",122.2,"Denmark",6.20164731298947,"DNK"
"763","M",32102.5,5248,6.595,"Ride",114.9,"Suomi",6.11709222560976,NA
